registry_id	ligand	receptor	ligand_entity_type	receptor_entity_type	ligand_components	receptor_components	source_methods	source_resources	source_databases	source_record_ids	pathway_labels	interaction_annotations	evidence_notes	cofactor_annotations	species_scope	direct_lr_candidate
LRREG_005844	Papln	Nectin4	gene	gene	Papln	Nectin4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005845	Papln	Sirpa	gene	gene	Papln	Sirpa	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005846	Patj	Cldn1	gene	gene	Patj	Cldn1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005847	Pcdh15	Tmc1	gene	gene	Pcdh15	Tmc1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005848	Pcdh15	Tmc2	gene	gene	Pcdh15	Tmc2	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005849	Pcdha1	Itgb1	gene	gene	Pcdha1	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005850	Pcdha1	Pcdha1	gene	gene	Pcdha1	Pcdha1	cellchat	CellChatDB.mouse		PCDHA1_PCDHA1	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005851	Pcdha10	Itgb1	gene	gene	Pcdha10	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005852	Pcdha10	Pcdha10	gene	gene	Pcdha10	Pcdha10	cellchat	CellChatDB.mouse		PCDHA10_PCDHA10	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005853	Pcdha11	Itgb1	gene	gene	Pcdha11	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005854	Pcdha11	Pcdha11	gene	gene	Pcdha11	Pcdha11	cellchat	CellChatDB.mouse		PCDHA11_PCDHA11	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005855	Pcdha12	Itgb1	gene	gene	Pcdha12	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005856	Pcdha12	Pcdha12	gene	gene	Pcdha12	Pcdha12	cellchat	CellChatDB.mouse		PCDHA12_PCDHA12	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
