tf_key	display_symbols	species_scopes	source_registries	reported_contributor_labels	human_current_sets	mouse_current_sets	vertebrate_profile_current_sets	human_status	mouse_status	vertebrate_profile_status	current_entity_ids	species_scope_count	current_any_species	new_species_scopes	dedupe_status	notes
zfp61	Zfp61	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp612	Zfp612	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp616	Zfp616	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp617	Zfp617	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp618	Zfp618	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp619	Zfp619	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp62	ZFP62;Zfp62	human;mouse	AnimalTFDB3;Lambert_HumanTFs					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
zfp622	Zfp622	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp623	Zfp623	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp626	Zfp626	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp628	Zfp628	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp629	Zfp629	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp637	Zfp637	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp639	Zfp639	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp64	ZFP64;Zfp64	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink;TRRUST	TRRUST				new_candidate	existing_public_pair_union			2	false	human	existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
zfp641	Zfp641	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp644	Zfp644	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp646	Zfp646	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp647	Zfp647	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
