pmcid	local_path	retrieval_status	retrieval_method	retrieved_at_utc	sha256
PMC6016825	data/raw/evidence/module23_pmc_fulltext_20260905/PMC6016825_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.441208+00:00	ebf4c7d9ce1270777578a8f56ad680fb9ef12e59d173c4c060cdcfedbdd5482d
PMC6245728	data/raw/evidence/module23_pmc_fulltext_20260905/PMC6245728_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.436507+00:00	64c04bc9b863e80efbdd7e634374a372f00cb3d0b70a17e618f38207f29b49f7
PMC6636343	data/raw/evidence/module23_pmc_fulltext_20260905/PMC6636343_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.433640+00:00	aeb49cdde2573ce25f31de2877d9a99760f1031b765a86e43ee0e21cd5276ced
PMC6729792	data/raw/evidence/module23_pmc_fulltext_20260905/PMC6729792_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.432838+00:00	9f8593e5f016cec0c36d49af9ea58df2cbc9fff0053b735144a753a2be741bb7
PMC6737067	data/raw/evidence/module23_pmc_fulltext_20260905/PMC6737067_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.439764+00:00	1e6f56ca5bfaed3b24d9a226d2d6cc0ac5da915b4f42fd0f7a6827fee1ce1c67
PMC6999705	data/raw/evidence/module23_pmc_fulltext_20260905/PMC6999705_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.436773+00:00	a87a88b706233650e02b8be45f3b0493815dfceb8b93033672028a11c9bc078c
PMC7195488	data/raw/evidence/module23_pmc_fulltext_20260905/PMC7195488_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.440751+00:00	673d1b38b6a76a532753aafd50f6c7405d02cfe74374d7d8a8ba65d1935a8109
PMC7476718	data/raw/evidence/module23_pmc_fulltext_20260905/PMC7476718_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:06:59.759775+00:00	2baf575df80ee5f1942f014d73a87ccf8a591d3385b98e2a51f4f0eff7cfba3c
PMC8935230	data/raw/evidence/module23_pmc_fulltext_20260905/PMC8935230_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.440493+00:00	b57636a8f247615e69a322f2d3d1dec9d6178d3ad99ee8bf5d8fb4c03d12462c
PMC9234671	data/raw/evidence/module23_pmc_fulltext_20260905/PMC9234671_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.436986+00:00	573d41bebd880a453559eeaad55ba2fe9db217a3f992f5c757bec7b9df469e32
PMC9700348	data/raw/evidence/module23_pmc_fulltext_20260905/PMC9700348_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.433860+00:00	2abd5f89acdce1b444ecc44c8a7e789d478896989dc36640ce25d25fe5a9549f
