pair_key	pair_label_canonical	cellchat_status	module20a_status	review_id	current_confidence	prior_notes
progesterone-hsd3b1 catsper4_catsperd	Progesterone-HSD3B1 CATSPER4_CATSPERD	cellchat_full	no		unreviewed	not_in_module20a_review_queue
prss3l f2r	Prss3l F2r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
prss3l f2rl1	Prss3l F2rl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
prss3l f2rl2	Prss3l F2rl2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
prss3l f2rl3	Prss3l F2rl3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
prss3l pard3	Prss3l Pard3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pspn gfra4_ret	Pspn Gfra4_ret	cellchat_full	yes	M20A-LIANA-REMAINING-0200	uncertain	Remaining LIANA pair searched in bounded exact-pair and expanded-family pass. Expanded search verdict=needs_manual_review.
ptprc cd22	Ptprc Cd22	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ptprc mrc1	Ptprc Mrc1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ptprm ptprm	Ptprm Ptprm	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ptprs ntrk3	Ptprs Ntrk3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pvr cd226	Pvr Cd226	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pvr tigit	Pvr Tigit	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pyy npy4r	Pyy Npy4r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pyy npy6r	Pyy Npy6r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pyy pgr15l	Pyy Pgr15l	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rara_crabp2	RA-ALDH1A1 RARA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rara_rxra_crabp2	RA-ALDH1A1 RARA_RXRA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rarb_crabp2	RA-ALDH1A1 RARB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rarb_rxrb_crabp2	RA-ALDH1A1 RARB_RXRB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rarg_crabp2	RA-ALDH1A1 RARG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rarg_rxrg_crabp2	RA-ALDH1A1 RARG_RXRG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rorb	RA-ALDH1A1 Rorb	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rxra_crabp2	RA-ALDH1A1 RXRA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rxrb_crabp2	RA-ALDH1A1 RXRB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a1 rxrg_crabp2	RA-ALDH1A1 RXRG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rara_crabp2	RA-ALDH1A2 RARA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rara_rxra_crabp2	RA-ALDH1A2 RARA_RXRA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rarb_crabp2	RA-ALDH1A2 RARB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rarb_rxrb_crabp2	RA-ALDH1A2 RARB_RXRB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rarg_crabp2	RA-ALDH1A2 RARG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rarg_rxrg_crabp2	RA-ALDH1A2 RARG_RXRG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rorb	RA-ALDH1A2 Rorb	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rxra_crabp2	RA-ALDH1A2 RXRA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rxrb_crabp2	RA-ALDH1A2 RXRB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a2 rxrg_crabp2	RA-ALDH1A2 RXRG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rara_crabp2	RA-ALDH1A3 RARA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rara_rxra_crabp2	RA-ALDH1A3 RARA_RXRA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rarb_crabp2	RA-ALDH1A3 RARB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rarb_rxrb_crabp2	RA-ALDH1A3 RARB_RXRB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rarg_crabp2	RA-ALDH1A3 RARG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rarg_rxrg_crabp2	RA-ALDH1A3 RARG_RXRG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rorb	RA-ALDH1A3 Rorb	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rxra_crabp2	RA-ALDH1A3 RXRA_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
